dataset,id,content
Train,2_1.mp4,屋外で、複数の男性らが何かを待つように集まっている
Train,2_2.mp4,集まった男性達が、ゆっくりと居所を移し始めている
Train,2_3.mp4,集まった男性らが、警官らしき人の誘導でゆっくりと移動し始めている
Train,2_4.mp4,警備らしき人達に付き添われた、黄色い布を首に掛けた男性が、ゆっくりと歩いている
Train,3_1.mp4,向かい合った二人の男性が挑発し合いながら、胸で相手を押し合っている
Train,3_10.mp4,二人の男性が向かい合って何か話している
Train,3_11.mp4,向かい合った二人の男性が、機嫌が悪そうな口調で、祝いと感謝の言葉を述べ合っている
Train,3_12.mp4,女性が耳をふさいで喚きながら、責め立てる男性をかわしている
Train,3_13.mp4,男女二人が感情的に捲し立てたり、それを無視したりしている
Train,3_14.mp4,女性が泣きながら訴えるのを、男性が困惑した様子で聞き返している
Train,3_15.mp4,泣きながら訴える女性に、困惑した男性が「理解できない」と言い返している
Train,3_16.mp4,男性が、泣きわめく女性を迷惑そうに突き放している
Train,3_17.mp4,向かい合った二人の男性が互いに詰りあっている
Train,3_18.mp4,二人の男性が、声量を競うように大声でわめき合っている
Train,3_19.mp4,白衣を着て何か作業している男性が、傍らの白衣の女性に話しかけている
Train,3_2.mp4,二人の男性が挑発したりされたりしがら、互いの胸をぶつけ合って遊んでいる
Train,3_20.mp4,白衣を着た女性が手元のボードを見ながら、傍らの白衣の男性に何か説明している
Train,3_21.mp4,白衣の女性に何かを言われた男性が、少々腑に落ちない様子で、止まっていた手を動かしている
Train,3_22.mp4,ポケットに両手を突っ込んだ女性が、ヒステリックに喚く女性に、批判的な口調で何か言っている
Train,3_23.mp4,ポケットに両手を突っ込んだ女性が、混乱している女性の言を小うるさそうに聞き流している
Train,3_24.mp4,大柄な女性が、顔をしかめて捲し立てる女性の言葉を、小ばかにしたように聞いている
Train,3_25.mp4,男性が、感情的にまくしたてる女性に話を遮られて、諦めたように口をつぐんでいる
Train,3_26.mp4,男性が、感情的にまくしたてる女性に少々辟易している
Train,3_27.mp4,男性が、感情的にまくしたてる女性に辟易している
Train,3_28.mp4,黒いハットの男性が踊りながら、向き合った男性をリズミカルに罵倒している
Train,3_29.mp4,向かい合う二人の男性が、ラップするようにリズミカルに踊りながら罵倒し合っている
Train,3_3.mp4,女性が不服そうながらも男性の謝罪を受け入れ、和解している
Train,3_30.mp4,男性が、踊りながら、向かい合う相手をバカにしたような発言をしている
Train,3_31.mp4,険悪な様子の男女の間に立つ女性が、介入しようとしてできずにいる
Train,3_32.mp4,口喧嘩している男女の間で、女性がいたたまれず困ったようにしている
Train,3_33.mp4,困り顔の女性を挟んで、二人の男女が口げんかしている
Train,3_34.mp4,カップを持った髭の男性が、太々しくガムを噛んでいる男性に、批判的な言葉を投げている
Train,3_35.mp4,それぞれ腕組みした二人の男女が嫌味の応酬をしている
Train,3_36.mp4,男性と言い争っている女性が少々激昂しかけている
Train,3_37.mp4,二人の男女が険悪な様子で交互に言い争っている
Train,3_38.mp4,険悪な雰囲気の男女が、吐き捨てるように嘆息したりしている
Train,3_39.mp4,新聞を読んでいる男性が、突っかかってくる腕組みした女性に、軽く謝っている
Train,3_4.mp4,男性と、少々不機嫌そうな女性が、向かい合って話している
Train,3_40.mp4,新聞を読んでいる男性が、腕組みして非難してくる女性を、落ち着いていなしている
Train,3_41.mp4,男性が新聞を畳み、機嫌の悪そうな女性に謝ってから再度新聞を開いている
Train,3_42.mp4,男性が、隣に立つ女性の発言に、真剣な様子でこたえている
Train,3_5.mp4,向かい合って立つ男女が何か話し合っている
Train,3_6.mp4,女性が、向かい合う男性の発言に、苛立ち気味に反論している
Train,3_7.mp4,女性に詰め寄られた男性が、逆上気味に反論している
Train,3_8.mp4,向かい合う二人の男女が言い争っている
Train,3_9.mp4,向かい合った男女が口喧嘩をしている
Train,10_1.mp4,紺色のシャツを着た男性が、同じ机を囲んだ3人の男女に積極的に発言している
Train,10_10.mp4,青いシャツを着た女性が、同じ机を囲んだ3人の男女に何か話している
Train,10_11.mp4,白いシャツを着た男性が、同じ机を囲んだ3人の男女に何か話している
Train,10_12.mp4,紺色のシャツを着た男性が、話し合いの主導権を握ったように発言している
Train,10_13.mp4,4人の男女がテーブルを囲み、ミーティングしている
Train,10_14.mp4,3人のミーティング参加者が、紺色シャツの男性の話を意欲的に聞いている
Train,10_2.mp4,紺色のシャツを着た男性が、同じ机を囲んだ3人の男女に発議するように話している
Train,10_3.mp4,紺色のシャツを着た男性が、同じ机を囲んだ3人の男女に手振りを交えて何か話している
Train,10_4.mp4,紺色のシャツを着た男性が、指で論点を数えながら話している
Train,10_5.mp4,紺色のシャツを着た男性が、3人の男女を相手に熱心に話している
Train,10_6.mp4,男性の話を聞いている女性達が、少々飽きたような表情をしている
Train,10_7.mp4,紺色のシャツを着た男性が、生き生きと自説を披露している
Train,10_8.mp4,テーブルを囲んだ4人の男女が、何か意見交換をしている
Train,10_9.mp4,ラグランのTシャツを着た女性が、同じ机を囲んだ男女に何か発言している
Train,12_1.mp4,5人の男性が壇上の長テーブルに横並びで座り、何かの開始を待っている
Train,12_10.mp4,会見に臨む5人の男性のうちの一人が、ハンドマイクを握って発言している
Train,12_11.mp4,会見に臨む5人の男性のうちの一人が、ハンドマイクを握って意見を述べている
Train,12_12.mp4,長テーブルに着いた5人の男性のうち、端に座る一人が、ハンドマイクを握って発言をしている
Train,12_13.mp4,長テーブルに着いた5人の男性のうち、端に座る一人が、ハンドマイクを握って意見を述べている
Train,12_14.mp4,長テーブルに着いた5人の男性のうち、端に座る一人が、片手で軽くジェスチャーしながら発言している
Train,12_15.mp4,長テーブルに着いた5人の男性のうちの一人が、ハンドマイクを握って何か発言している
Train,12_17.mp4,長テーブルに着いた男性のうちの一人が、手振りを交えながら卓上マイクに向かって発言している
Train,12_18.mp4,会見中の男性らのうちの一人が、ハンドマイクを握って何か意見を述べている
Train,12_2.mp4,演壇に立つ男性が、控えている講演者らとの笑いを交えながら司会している
Train,12_3.mp4,演壇に立つ男性が、会場を見渡しながら何か説明している
Train,12_4.mp4,演壇に立つ男性が、脇のテーブルに控えている講演者を手振りで示している
Train,12_5.mp4,演説を始めた男性が、聴衆に指摘されてマイクを手元に引き寄せ、テスト発話している
Train,12_6.mp4,演説を終えた男性が、隣の男性にマイクを引き渡している
Train,12_7.mp4,長テーブルに着いた講演者のうちの一人が手振りを交えながら、卓上マイクで発言している
Train,12_8.mp4,長テーブルに着いた講演者のうちの一人が、ハンドマイクを握って聴衆に向けて挨拶している
Train,12_9.mp4,会見に臨む5人の男性のうち、中央に座した男性が、少々そっくり返った姿勢で発言している
Train,13_1.mp4,男女4人ずつが階段に座り込み、そのうちの男性一人が皆を代表してカメラに発言している
Train,13_10.mp4,階段に座り込んだ8人の男女が、穏やかに意見交換している
Train,13_11.mp4,階段に座り込んだ男女のうち、一人の女性が他メンバーに向けて何か発言している
Train,13_12.mp4,階段に座り込んだ8人の男女が、何か意見したり、発言に耳を傾けたりしている
Train,13_13.mp4,8人の男女が階段に座り込み、うち一人の女性が何か発言している
Train,13_16.mp4,階段に座り込んだ男女のうち、一人の男性の発言に、他の人々が笑っている
Train,13_17.mp4,階段に座り込んだ男女のうち、一人の女性の発言に、他の人々が頷きや発言で反応している
Train,13_18.mp4,階段に座り込んだ8人の男女が、和やかな様子で何か意見を出し合っている
Train,13_19.mp4,階段に座り込んだ男女のうち、一人の女性が手振りを加えながら発言している
Train,13_2.mp4,4人ずつの男女が階段に座り込み、カメラに向けて一人ずつ短い自己紹介をしている
Train,13_20.mp4,階段に座り込んだ8人の男女が笑いながら雑談している
Train,13_22.mp4,階段に座り込んだ8人の男女が何か雑談している
Train,13_23.mp4,階段に座り込んだ8人の男女が、笑いながらおしゃべりしている
Train,13_24.mp4,階段に座り込んだ男女のうち一人の男性の発言に、女性陣が反応して笑っている
Train,13_25.mp4,8人の男女が階段に座り込んで、笑いながら発言し合っている
Train,13_28.mp4,階段に座り込んだ8人の男女が、笑いながら何か雑談している
Train,13_29.mp4,階段に座り込んだ8人の男女のうち、一人の男性が何か意見を表明している
